attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr,sinc,intel,fun,amb,shar,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3
10.0,10.0,10.0,10.0,10.0,10.0,100.0,25.0,35.0,40.0,18.18,22.22,,,,,,,65.0,20.0,30.0,30.0,25.0,20.0,10.0,9.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,35.71,25.64,22.22,28.57,15.79,21.21,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,9.0,9.0,10.0,9.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,50.0,35.0,50.0,30.0,25.0,20.0,,,,,,,95.0,30.0,30.0,30.0,30.0,20.0,8.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,75.0,30.0,30.0,40.0,20.0,30.0,,,,,,,,,,,,,8.0,10.0,10.0,9.0,10.0,,,,,,8.0,10.0,10.0,9.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,60.0,25.0,45.0,30.0,53.0,20.0,,,,,,,80.0,20.0,40.0,30.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,70.0,20.0,30.0,50.0,20.0,25.0,,,,,,,,,,,,,9.0,9.0,10.0,10.0,9.0,,,,,,9.0,10.0,9.0,10.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,50.0,32.0,50.0,24.0,20.0,30.0,,,,,,,65.0,30.0,30.0,30.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,55.0,30.0,40.0,40.0,20.0,25.0,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,80.0,40.0,35.0,35.0,20.0,20.0,,,,,,,70.0,50.0,20.0,30.0,20.0,20.0,9.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,80.0,20.0,40.0,30.0,15.0,30.0,,,,,,,,,,,,,9.0,10.0,10.0,10.0,10.0,,,,,,9.0,10.0,10.0,10.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,20.83,22.73,20.0,20.83,20.0,19.57,10.0,9.0,9.0,9.0,9.0,9.0,24.32,19.61,19.05,23.81,21.43,19.15,9.0,10.0,10.0,9.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,21.43,22.22,20.0,21.43,18.0,18.0,10.0,10.0,10.0,9.0,9.0,8.0,22.5,19.61,18.37,20.0,17.31,18.87,9.0,10.0,9.0,10.0,10.0,,,,,,9.0,12.0,12.0,12.0,12.0
10.0,10.0,10.0,10.0,10.0,10.0,27.78,23.08,22.73,27.78,19.57,19.57,10.0,9.0,9.0,10.0,9.0,10.0,28.57,20.45,20.45,25.0,20.0,19.51,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,25.0,21.95,23.81,25.0,18.75,19.57,10.0,9.0,9.0,9.0,9.0,9.0,23.81,20.0,20.45,20.93,21.28,20.0,10.0,10.0,10.0,10.0,10.0,,,,,,12.0,12.0,12.0,12.0,12.0
10.0,10.0,10.0,10.0,10.0,10.0,20.93,23.81,23.26,22.5,20.41,17.39,10.0,10.0,10.0,10.0,10.0,10.0,26.32,21.05,21.05,26.32,21.05,19.51,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,21.43,23.81,25.0,23.26,18.87,18.37,10.0,9.0,9.0,10.0,9.0,9.0,27.03,19.15,21.05,24.39,20.93,19.15,9.0,10.0,10.0,9.0,10.0,,,,,,9.0,9.0,12.0,9.0,12.0
10.0,10.0,10.0,10.0,10.0,10.0,25.64,23.81,23.81,23.81,20.59,23.81,10.0,10.0,10.0,10.0,10.0,10.0,31.25,23.26,20.51,31.25,24.14,22.22,10.0,10.0,10.0,10.0,10.0,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,26.32,22.22,25.0,21.05,22.22,22.5,10.0,10.0,10.0,10.0,9.0,10.0,38.46,20.51,30.77,21.74,22.22,19.15,10.0,10.0,10.0,10.0,10.0,,,,,,12.0,12.0,12.0,12.0,12.0
10.0,10.0,10.0,10.0,10.0,10.0,90.0,30.0,30.0,25.0,20.0,25.0,45.0,35.0,30.0,30.0,20.0,20.0,90.0,25.0,30.0,30.0,25.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,30.0,30.0,25.0,20.0,25.0,50.0,25.0,35.0,30.0,25.0,20.0,75.0,25.0,25.0,25.0,22.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,60.0,40.0,45.0,25.0,25.0,25.0,70.0,30.0,30.0,30.0,33.0,25.0,68.0,30.0,30.0,30.0,50.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,60.0,30.0,40.0,30.0,20.0,30.0,60.0,35.0,40.0,30.0,30.0,30.0,60.0,25.0,30.0,33.33,50.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,50.0,47.0,42.86,25.0,20.0,22.0,75.0,35.0,35.0,30.0,25.0,30.0,70.0,25.0,30.0,30.0,30.0,20.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,30.0,35.0,25.0,20.0,25.0,50.0,30.0,20.0,30.0,20.0,20.0,50.0,25.0,25.0,25.0,25.0,20.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,60.0,60.0,30.0,25.0,20.0,30.0,60.0,30.0,30.0,30.0,20.0,20.0,60.0,30.0,20.0,40.0,20.0,20.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,22.0,30.0,30.0,20.0,30.0,85.0,30.0,25.0,30.0,16.0,30.0,85.0,20.0,25.0,30.0,30.0,30.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,75.0,30.0,30.0,50.0,30.0,25.0,85.0,25.0,25.0,30.0,30.0,40.0,80.0,25.0,25.0,33.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,30.0,30.0,40.0,20.0,25.0,85.0,30.0,25.0,40.0,35.0,20.0,75.0,30.0,21.05,30.0,40.0,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,95.0,30.0,40.0,35.0,20.0,30.0,95.0,25.0,30.0,30.0,50.0,25.0,100.0,28.0,30.0,30.0,25.0,30.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,50.0,30.0,30.0,20.0,20.0,80.0,20.0,20.0,30.0,30.0,20.0,75.0,20.0,25.0,30.0,20.0,25.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,9.0,10.0,10.0,60.0,30.0,40.0,20.0,20.0,30.0,75.0,19.0,30.0,30.0,25.0,20.0,50.0,25.0,40.0,30.0,35.0,20.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,50.0,25.0,40.0,20.0,15.0,30.0,50.0,20.0,20.0,20.0,20.0,30.0,40.0,20.0,30.0,25.0,20.0,30.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0
10.0,10.0,10.0,10.0,10.0,10.0,55.0,40.0,50.0,45.0,18.0,30.0,60.0,30.0,30.0,45.0,25.0,30.0,60.0,40.0,25.0,50.0,30.0,30.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,30.0,25.0,33.0,15.0,25.0,80.0,25.0,20.0,40.0,20.0,18.0,80.0,30.0,30.0,40.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
9.0,10.0,10.0,10.0,10.0,9.0,50.0,30.0,25.0,30.0,20.0,25.0,50.0,30.0,30.0,30.0,30.0,25.0,50.0,20.0,20.0,30.0,20.0,25.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,40.0,20.0,20.0,20.0,20.0,25.0,40.0,20.0,30.0,20.0,30.0,25.0,70.0,30.0,20.0,30.0,20.0,25.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,40.0,26.0,30.0,30.0,20.0,20.0,75.0,20.0,30.0,40.0,50.0,30.0,60.0,30.0,40.0,30.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,25.0,30.0,30.0,20.0,30.0,100.0,25.0,30.0,50.0,20.0,35.0,60.0,40.0,30.0,25.0,20.0,25.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0
9.0,10.0,10.0,10.0,10.0,8.0,40.0,30.0,40.0,20.0,20.0,20.0,75.0,20.0,20.0,25.0,20.0,20.0,60.0,20.0,20.0,30.0,20.0,20.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,40.0,30.0,40.0,20.0,18.0,20.0,75.0,20.0,30.0,40.0,20.0,30.0,80.0,20.0,20.0,20.0,20.0,20.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,70.0,30.0,30.0,30.0,16.0,30.0,90.0,30.0,30.0,30.0,30.0,20.0,90.0,30.0,30.0,40.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,30.0,30.0,30.0,20.0,35.0,80.0,30.0,25.0,30.0,20.0,40.0,70.0,30.0,20.0,40.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
